Video ID: 7y5Ye-2-ZBs, Gloss: like
Video ID: S_LEeTt2McM, Gloss: nice
Video ID: S_LEeTt2McM, Gloss: nice
Video ID: S_LEeTt2McM, Gloss: white
Video ID: S_LEeTt2McM, Gloss: hello
Video ID: S_LEeTt2McM, Gloss: no
Video ID: 8ppn1CQpBKE, Gloss: go
Video ID: gNOyfBLhb-0, Gloss: beautiful
Video ID: iDWntsY_rZM, Gloss: hello
Video ID: iDWntsY_rZM, Gloss: friend
Video ID: iDWntsY_rZM, Gloss: go
Video ID: iDWntsY_rZM, Gloss: happy
Video ID: iDWntsY_rZM, Gloss: hello
Video ID: iDWntsY_rZM, Gloss: like
Video ID: iDWntsY_rZM, Gloss: no
Video ID: iDWntsY_rZM, Gloss: nice
Video ID: iDWntsY_rZM, Gloss: no
Video ID: iDWntsY_rZM, Gloss: teacher
Video ID: 0v4Y9WGhES8, Gloss: hello
Video ID: 0v4Y9WGhES8, Gloss: hello
Video ID: 0v4Y9WGhES8, Gloss: good
Video ID: 0v4Y9WGhES8, Gloss: no
Video ID: 0v4Y9WGhES8, Gloss: no
Video ID: 0v4Y9WGhES8, Gloss: teacher
Video ID: 0v4Y9WGhES8, Gloss: nice
Video ID: gQKqDXE-LJ8, Gloss: beautiful
Video ID: FsfHnBqWll0, Gloss: big
Video ID: FsfHnBqWll0, Gloss: sister
Video ID: FsfHnBqWll0, Gloss: sister
Video ID: ZyL9f_qoGug, Gloss: go
Video ID: XP4JFpmznzE, Gloss: beautiful
Video ID: jknOnIhAbNo, Gloss: go
Video ID: eMZb5qFzObg, Gloss: go
Video ID: X7vWbKADW8w, Gloss: sister
Video ID: M6_hX1QTzIM, Gloss: sister
Video ID: 75OHf34DQXk, Gloss: white
Video ID: lBdL0qoRtPI, Gloss: go
Video ID: CU4oBcIEWz0, Gloss: big
Video ID: 3A0iSc2umlg, Gloss: happy
Video ID: 3A0iSc2umlg, Gloss: like
Video ID: -m_jlfbs37k, Gloss: big
Video ID: DtTVnZO0kNI, Gloss: boy
Video ID: DtTVnZO0kNI, Gloss: friend
Video ID: DtTVnZO0kNI, Gloss: teacher
Video ID: 2lzLDsoVWww, Gloss: friend
Video ID: 2lzLDsoVWww, Gloss: nice
Video ID: J9kZS0VdY_A, Gloss: go
Video ID: J9kZS0VdY_A, Gloss: big
Video ID: J9kZS0VdY_A, Gloss: big
Video ID: J9kZS0VdY_A, Gloss: beautiful
Video ID: J9kZS0VdY_A, Gloss: beautiful
Video ID: J9kZS0VdY_A, Gloss: beautiful
Video ID: n7MQUHa0vr4, Gloss: white
Video ID: n7MQUHa0vr4, Gloss: sister
Video ID: n7MQUHa0vr4, Gloss: sister
Video ID: n7MQUHa0vr4, Gloss: friend
Video ID: n7MQUHa0vr4, Gloss: nice
Video ID: QlZnUdm8KAU, Gloss: go
Video ID: vFEQ8aluRDY, Gloss: sister
Video ID: Y4Ah4DAuQS0, Gloss: nice
Video ID: Y4Ah4DAuQS0, Gloss: nice
Video ID: Nir1m7wW0MA, Gloss: sister
Video ID: tzER8F2xbB0, Gloss: what
Video ID: LrAEThlpWrI, Gloss: beautiful
Video ID: KLD5f35qEDI, Gloss: teacher
Video ID: KLD5f35qEDI, Gloss: boy
Video ID: -jfRyJH7OMI, Gloss: teacher
Video ID: Tlr2V74Tr_E, Gloss: go
Video ID: PRZcJy5-YGo, Gloss: like
Video ID: lAE4m0AFNcw, Gloss: happy
Video ID: cxXEULq9Jpc, Gloss: what
Video ID: cxXEULq9Jpc, Gloss: what
Video ID: cxXEULq9Jpc, Gloss: what
Video ID: cxXEULq9Jpc, Gloss: what
Video ID: cxXEULq9Jpc, Gloss: happy
Video ID: cxXEULq9Jpc, Gloss: like
Video ID: deGERv54kIc, Gloss: happy
Video ID: AK26EQRsH7k, Gloss: what
Video ID: QfVrSA3yrSc, Gloss: go
Video ID: ei6zL529jn0, Gloss: beautiful
Video ID: s7SmV4gec-U, Gloss: boy
Video ID: 3qKcPONtNXQ, Gloss: hello
Video ID: kddq0oAgBS0, Gloss: white
Video ID: sbODkAcZ5Mw, Gloss: what
Video ID: _DHUt_HbbX0, Gloss: nice
Video ID: c3j44FTrL9c, Gloss: go
Video ID: RkzeHBbOWSk, Gloss: happy
Video ID: XUHIW7bxAIo, Gloss: nice
Video ID: oRsVMK7sxMQ, Gloss: hello
Video ID: JNyLT9-5o8M, Gloss: sister
Video ID: 6kvCOzxP9_A, Gloss: hello
Video ID: kA-FPrCV88o, Gloss: good
Video ID: BeOwDK5YI0U, Gloss: go
Video ID: VXN_PVcYgKc, Gloss: friend
Video ID: EtRRcMFLqI0, Gloss: teacher
Video ID: bqLtmk7uYCg, Gloss: sister
Video ID: jGsh6zd3eUQ, Gloss: no
Video ID: 8jyjX2nNXYU, Gloss: teacher
Video ID: pCUysyLYIwc, Gloss: nice
Video ID: uvhVws-LlfM, Gloss: friend
Video ID: teA9no8RAog, Gloss: good
Video ID: XO9Lq5Gyuaw, Gloss: what
Video ID: nTaaoVc75-k, Gloss: good
